query,sql,,,,,
What was the MAX volume for NFLX over 2023 01 01 AND 2023 12 31?,SELECT MAX(volume) FROM stocks WHERE symbol = 'NFLX' AND date >= 2023-01-01' AND '2023-12-31;,,,,,
Find all dates where META's high price was greater than 87 in the last   2 years.,"SELECT date FROM stocks WHERE symbol = 'META' AND high > 87 AND date >= date('now', '-2 years');",,,,,
What was the adj_close price for MSFT on 2023-08-22?,SELECT adj_close FROM stocks WHERE symbol = 'MSFT' AND date = '2023-08-22';,,,,,
Find all dates where NVDA's move price was greater than 139 in the last   2 years.,"SELECT date FROM stocks WHERE symbol = 'NVDA' AND move > 139 AND date >= date('now', '-2 years');",,,,,
Find all dates where PG's high price was greater than 143 in the last   365  days.,"SELECT date FROM stocks WHERE symbol = 'PG' AND high > 143 AND date >= date('now', '-365 days');",,,,,
Find all dates where TSLA's high price was greater than 99 in the last   365  days.,"SELECT date FROM stocks WHERE symbol = 'TSLA' AND high > 99 AND date >= date('now', '-365 days');",,,,,
Calculate the total open for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(open) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
What was the high price for NFLX on 2025-03-12?,SELECT high FROM stocks WHERE symbol = 'NFLX' AND date = '2025-03-12';,,,,,
Find all dates where PG's volume price was greater than 141 in the last   180  days.,"SELECT date FROM stocks WHERE symbol = 'PG' AND volume > 141 AND date >= date('now', '-180 days');",,,,,
What was the high price for PG on 2024-10-07?,SELECT high FROM stocks WHERE symbol = 'PG' AND date = '2024-10-07';,,,,,
Find all dates where KO's move price was greater than 89 in the last   90  days.,"SELECT date FROM stocks WHERE symbol = 'KO' AND move > 89 AND date >= date('now', '-90 days');",,,,,
Calculate the total volume for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(volume) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where MSFT's close price was greater than 131 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'MSFT' AND close > 131 AND date >= date('now', '-30 days');",,,,,
What was the MIN low for AAPL over the last   180  days?,"SELECT MIN(low) FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-180 days');",,,,,
Find the date and close for JPM's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'JPM' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-365 days'));",,,,,
What was the SUM close for JPM over the last   2 years?,"SELECT SUM(close) FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-2 years');",,,,,
Find the date and close for JPM's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'JPM' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-365 days'));",,,,,
Calculate the total open for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(open) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
What was the SUM move for META over the last   5 years?,"SELECT SUM(move) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-5 years');",,,,,
Plot the 100-day moving average of the move price for NVDA in the last year.,"SELECT date, AVG(move) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-365 days');",,,,,
Find the date and close for META's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'META' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days'));",,,,,
What was the MAX high for GOOGL over the last   5 years?,"SELECT MAX(high) FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-5 years');",,,,,
Find the date and move for MSFT's highest move price in the last year.,"SELECT date, move FROM stocks WHERE symbol = 'MSFT' AND move = (SELECT MAX(move) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days'));",,,,,
What was the low price for TSLA on 2025-11-17?,SELECT low FROM stocks WHERE symbol = 'TSLA' AND date = '2025-11-17';,,,,,
What was the adj_close price for MSFT on 2025-09-24?,SELECT adj_close FROM stocks WHERE symbol = 'MSFT' AND date = '2025-09-24';,,,,,
Find all dates where KO's low price was greater than 72 in the last   180  days.,"SELECT date FROM stocks WHERE symbol = 'KO' AND low > 72 AND date >= date('now', '-180 days');",,,,,
What was the MAX close for KO over 2024 01 01 AND 2024 12 31?,SELECT MAX(close) FROM stocks WHERE symbol = 'KO' AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Show me all data for META in the last   180  days.,"SELECT * FROM stocks WHERE symbol = 'META' AND date >= date('now', '-180 days') ORDER BY date ASC;",,,,,
Find all dates where NVDA's high price was greater than 114 in the last   2 years.,"SELECT date FROM stocks WHERE symbol = 'NVDA' AND high > 114 AND date >= date('now', '-2 years');",,,,,
Plot the 100-day moving average of the low price for AMZN in the last year.,"SELECT date, AVG(low) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'AMZN' AND date >= date('now', '-365 days');",,,,,
Find the date and low for AMZN's highest low price in the last year.,"SELECT date, low FROM stocks WHERE symbol = 'AMZN' AND low = (SELECT MAX(low) FROM stocks WHERE symbol = 'AMZN' AND date >= date('now', '-365 days'));",,,,,
Find all dates where PG's open price was greater than 185 in the last   180  days.,"SELECT date FROM stocks WHERE symbol = 'PG' AND open > 185 AND date >= date('now', '-180 days');",,,,,
Plot the 50-day moving average of the volume price for PG in the last year.,"SELECT date, AVG(volume) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'PG' AND date >= date('now', '-365 days');",,,,,
What was the volume price for NVDA on 2024-03-13?,SELECT volume FROM stocks WHERE symbol = 'NVDA' AND date = '2024-03-13';,,,,,
What was the AVG volume for META over the last   180  days?,"SELECT AVG(volume) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-180 days');",,,,,
Calculate the total adj_close for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(adj_close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where TSLA's close price was greater than 78 in 2023 01 01 AND 2023 12 31.,SELECT date FROM stocks WHERE symbol = 'TSLA' AND close > 78 AND date >= 2023-01-01' AND '2023-12-31;,,,,,
Plot the 100-day moving average of the open price for MSFT in the last year.,"SELECT date, AVG(open) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days');",,,,,
What was the SUM adj_close for NVDA over the last   30  days?,"SELECT SUM(adj_close) FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-30 days');",,,,,
What was the open price for AAPL on 2023-03-10?,SELECT open FROM stocks WHERE symbol = 'AAPL' AND date = '2023-03-10';,,,,,
What was the close price for KO on 2024-04-26?,SELECT close FROM stocks WHERE symbol = 'KO' AND date = '2024-04-26';,,,,,
Plot the 20-day moving average of the volume price for NFLX in the last year.,"SELECT date, AVG(volume) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days');",,,,,
Find the date and adj_close for AAPL's highest adj_close price in the last year.,"SELECT date, adj_close FROM stocks WHERE symbol = 'AAPL' AND adj_close = (SELECT MAX(adj_close) FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-365 days'));",,,,,
Find all dates where PG's high price was greater than 178 in the last   365  days.,"SELECT date FROM stocks WHERE symbol = 'PG' AND high > 178 AND date >= date('now', '-365 days');",,,,,
Plot the 20-day moving average of the volume price for KO in the last year.,"SELECT date, AVG(volume) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-365 days');",,,,,
Plot the 100-day moving average of the high price for AAPL in the last year.,"SELECT date, AVG(high) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-365 days');",,,,,
Show me all data for V in the last   180  days.,"SELECT * FROM stocks WHERE symbol = 'V' AND date >= date('now', '-180 days') ORDER BY date ASC;",,,,,
Plot the 20-day moving average of the high price for META in the last year.,"SELECT date, AVG(high) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days');",,,,,
Calculate the total low for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(low) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find the date and high for NFLX's highest high price in the last year.,"SELECT date, high FROM stocks WHERE symbol = 'NFLX' AND high = (SELECT MAX(high) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days'));",,,,,
Find the date and move for MSFT's highest move price in the last year.,"SELECT date, move FROM stocks WHERE symbol = 'MSFT' AND move = (SELECT MAX(move) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days'));",,,,,
Calculate the total move for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(move) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where GOOGL's open price was greater than 108 in the last   180  days.,"SELECT date FROM stocks WHERE symbol = 'GOOGL' AND open > 108 AND date >= date('now', '-180 days');",,,,,
What was the MIN open for JPM over the last   180  days?,"SELECT MIN(open) FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-180 days');",,,,,
What was the MAX high for MSFT over the last   30  days?,"SELECT MAX(high) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-30 days');",,,,,
Show me all data for PG in the last   2 years.,"SELECT * FROM stocks WHERE symbol = 'PG' AND date >= date('now', '-2 years') ORDER BY date ASC;",,,,,
What was the SUM move for AMZN over the last   90  days?,"SELECT SUM(move) FROM stocks WHERE symbol = 'AMZN' AND date >= date('now', '-90 days');",,,,,
What was the low price for PG on 2024-04-04?,SELECT low FROM stocks WHERE symbol = 'PG' AND date = '2024-04-04';,,,,,
Calculate the total low for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(low) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Show me all data for NVDA in 2023 01 01 AND 2023 12 31.,SELECT * FROM stocks WHERE symbol = 'NVDA' AND date >= 2023-01-01' AND '2023-12-31 ORDER BY date ASC;,,,,,
Plot the 50-day moving average of the high price for PG in the last year.,"SELECT date, AVG(high) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'PG' AND date >= date('now', '-365 days');",,,,,
What was the MIN open for TSLA over the last   2 years?,"SELECT MIN(open) FROM stocks WHERE symbol = 'TSLA' AND date >= date('now', '-2 years');",,,,,
Show me all data for V in 2023 01 01 AND 2023 12 31.,SELECT * FROM stocks WHERE symbol = 'V' AND date >= 2023-01-01' AND '2023-12-31 ORDER BY date ASC;,,,,,
Find the date and volume for V's highest volume price in the last year.,"SELECT date, volume FROM stocks WHERE symbol = 'V' AND volume = (SELECT MAX(volume) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days'));",,,,,
What was the AVG move for AMZN over 2024 01 01 AND 2024 12 31?,SELECT AVG(move) FROM stocks WHERE symbol = 'AMZN' AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Calculate the total adj_close for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(adj_close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Plot the 100-day moving average of the low price for NFLX in the last year.,"SELECT date, AVG(low) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days');",,,,,
Find all dates where PG's move price was greater than 139 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'PG' AND move > 139 AND date >= date('now', '-30 days');",,,,,
Show me all data for KO in the last   30  days.,"SELECT * FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-30 days') ORDER BY date ASC;",,,,,
What was the adj_close price for META on 2025-03-25?,SELECT adj_close FROM stocks WHERE symbol = 'META' AND date = '2025-03-25';,,,,,
Plot the 100-day moving average of the close price for MSFT in the last year.,"SELECT date, AVG(close) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days');",,,,,
Show me all data for META in the last   2 years.,"SELECT * FROM stocks WHERE symbol = 'META' AND date >= date('now', '-2 years') ORDER BY date ASC;",,,,,
Find all dates where MSFT's open price was greater than 122 in 2023 01 01 AND 2023 12 31.,SELECT date FROM stocks WHERE symbol = 'MSFT' AND open > 122 AND date >= 2023-01-01' AND '2023-12-31;,,,,,
What was the MAX volume for NFLX over 2024 01 01 AND 2024 12 31?,SELECT MAX(volume) FROM stocks WHERE symbol = 'NFLX' AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Show me all data for META in the last   2 years.,"SELECT * FROM stocks WHERE symbol = 'META' AND date >= date('now', '-2 years') ORDER BY date ASC;",,,,,
Show me all data for V in the last   365  days.,"SELECT * FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days') ORDER BY date ASC;",,,,,
Calculate the total close for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
What was the MIN low for AAPL over the last   180  days?,"SELECT MIN(low) FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-180 days');",,,,,
Calculate the total open for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(open) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where KO's low price was greater than 174 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'KO' AND low > 174 AND date >= date('now', '-30 days');",,,,,
Show me all data for JPM in 2024 01 01 AND 2024 12 31.,SELECT * FROM stocks WHERE symbol = 'JPM' AND date >= 2024-01-01' AND '2024-12-31 ORDER BY date ASC;,,,,,
Plot the 50-day moving average of the open price for NFLX in the last year.,"SELECT date, AVG(open) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days');",,,,,
Find all dates where MSFT's volume price was greater than 68 in 2023 01 01 AND 2023 12 31.,SELECT date FROM stocks WHERE symbol = 'MSFT' AND volume > 68 AND date >= 2023-01-01' AND '2023-12-31;,,,,,
Calculate the total adj_close for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(adj_close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
What was the close price for AMZN on 2025-02-21?,SELECT close FROM stocks WHERE symbol = 'AMZN' AND date = '2025-02-21';,,,,,
Show me all data for NVDA in the last   90  days.,"SELECT * FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-90 days') ORDER BY date ASC;",,,,,
Find all dates where AMZN's volume price was greater than 66 in 2024 01 01 AND 2024 12 31.,SELECT date FROM stocks WHERE symbol = 'AMZN' AND volume > 66 AND date >= 2024-01-01' AND '2024-12-31;,,,,,
What was the AVG move for AAPL over the last   365  days?,"SELECT AVG(move) FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-365 days');",,,,,
What was the low price for TSLA on 2023-10-07?,SELECT low FROM stocks WHERE symbol = 'TSLA' AND date = '2023-10-07';,,,,,
Show me all data for PG in 2024 01 01 AND 2024 12 31.,SELECT * FROM stocks WHERE symbol = 'PG' AND date >= 2024-01-01' AND '2024-12-31 ORDER BY date ASC;,,,,,
Calculate the total high for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(high) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find the date and high for AMZN's highest high price in the last year.,"SELECT date, high FROM stocks WHERE symbol = 'AMZN' AND high = (SELECT MAX(high) FROM stocks WHERE symbol = 'AMZN' AND date >= date('now', '-365 days'));",,,,,
What was the AVG low for JPM over the last   5 years?,"SELECT AVG(low) FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-5 years');",,,,,
Plot the 50-day moving average of the adj_close price for NVDA in the last year.,"SELECT date, AVG(adj_close) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-365 days');",,,,,
What was the MAX move for AAPL over 2024 01 01 AND 2024 12 31?,SELECT MAX(move) FROM stocks WHERE symbol = 'AAPL' AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Find all dates where AMZN's close price was greater than 150 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'AMZN' AND close > 150 AND date >= date('now', '-30 days');",,,,,
Plot the 50-day moving average of the move price for JPM in the last year.,"SELECT date, AVG(move) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-365 days');",,,,,
Show me all data for META in the last   2 years.,"SELECT * FROM stocks WHERE symbol = 'META' AND date >= date('now', '-2 years') ORDER BY date ASC;",,,,,
Find all dates where MSFT's adj_close price was greater than 135 in 2024 01 01 AND 2024 12 31.,SELECT date FROM stocks WHERE symbol = 'MSFT' AND adj_close > 135 AND date >= 2024-01-01' AND '2024-12-31;,,,,,
Calculate the total open for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(open) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where META's close price was greater than 77 in the last   5 years.,"SELECT date FROM stocks WHERE symbol = 'META' AND close > 77 AND date >= date('now', '-5 years');",,,,,
Find all dates where META's volume price was greater than 127 in the last   180  days.,"SELECT date FROM stocks WHERE symbol = 'META' AND volume > 127 AND date >= date('now', '-180 days');",,,,,
What was the close price for AAPL on 2025-07-14?,SELECT close FROM stocks WHERE symbol = 'AAPL' AND date = '2025-07-14';,,,,,
What was the volume price for NFLX on 2025-10-06?,SELECT volume FROM stocks WHERE symbol = 'NFLX' AND date = '2025-10-06';,,,,,
What was the adj_close price for TSLA on 2025-07-29?,SELECT adj_close FROM stocks WHERE symbol = 'TSLA' AND date = '2025-07-29';,,,,,
Find the date and high for AMZN's highest high price in the last year.,"SELECT date, high FROM stocks WHERE symbol = 'AMZN' AND high = (SELECT MAX(high) FROM stocks WHERE symbol = 'AMZN' AND date >= date('now', '-365 days'));",,,,,
Find the date and high for AAPL's highest high price in the last year.,"SELECT date, high FROM stocks WHERE symbol = 'AAPL' AND high = (SELECT MAX(high) FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-365 days'));",,,,,
Plot the 50-day moving average of the adj_close price for META in the last year.,"SELECT date, AVG(adj_close) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days');",,,,,
Find the date and close for KO's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'KO' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-365 days'));",,,,,
What was the MAX low for KO over the last   30  days?,"SELECT MAX(low) FROM stocks WHERE symbol = 'KO' AND date >= date('now', '-30 days');",,,,,
Find the date and close for V's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'V' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days'));",,,,,
Find the date and volume for NFLX's highest volume price in the last year.,"SELECT date, volume FROM stocks WHERE symbol = 'NFLX' AND volume = (SELECT MAX(volume) FROM stocks WHERE symbol = 'NFLX' AND date >= date('now', '-365 days'));",,,,,
Calculate the total volume for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(volume) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where META's adj_close price was greater than 53 in the last   30  days.,"SELECT date FROM stocks WHERE symbol = 'META' AND adj_close > 53 AND date >= date('now', '-30 days');",,,,,
What was the AVG open for V over the last   5 years?,"SELECT AVG(open) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-5 years');",,,,,
What was the MIN volume for META over the last   5 years?,"SELECT MIN(volume) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-5 years');",,,,,
Show me all data for TSLA in 2023 01 01 AND 2023 12 31.,SELECT * FROM stocks WHERE symbol = 'TSLA' AND date >= 2023-01-01' AND '2023-12-31 ORDER BY date ASC;,,,,,
Show me all data for V in the last   90  days.,"SELECT * FROM stocks WHERE symbol = 'V' AND date >= date('now', '-90 days') ORDER BY date ASC;",,,,,
What was the SUM open for META over the last   180  days?,"SELECT SUM(open) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-180 days');",,,,,
What was the volume price for AMZN on 2025-06-06?,SELECT volume FROM stocks WHERE symbol = 'AMZN' AND date = '2025-06-06';,,,,,
Show me all data for GOOGL in the last   180  days.,"SELECT * FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-180 days') ORDER BY date ASC;",,,,,
Find all dates where JPM's low price was greater than 191 in 2023 01 01 AND 2023 12 31.,SELECT date FROM stocks WHERE symbol = 'JPM' AND low > 191 AND date >= 2023-01-01' AND '2023-12-31;,,,,,
Find all dates where AMZN's open price was greater than 185 in the last   90  days.,"SELECT date FROM stocks WHERE symbol = 'AMZN' AND open > 185 AND date >= date('now', '-90 days');",,,,,
Show me all data for AAPL in 2023 01 01 AND 2023 12 31.,SELECT * FROM stocks WHERE symbol = 'AAPL' AND date >= 2023-01-01' AND '2023-12-31 ORDER BY date ASC;,,,,,
Calculate the total open for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(open) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find the date and high for META's highest high price in the last year.,"SELECT date, high FROM stocks WHERE symbol = 'META' AND high = (SELECT MAX(high) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days'));",,,,,
What was the low price for NVDA on 2025-11-15?,SELECT low FROM stocks WHERE symbol = 'NVDA' AND date = '2025-11-15';,,,,,
What was the volume price for NFLX on 2023-09-11?,SELECT volume FROM stocks WHERE symbol = 'NFLX' AND date = '2023-09-11';,,,,,
Find the date and move for MSFT's highest move price in the last year.,"SELECT date, move FROM stocks WHERE symbol = 'MSFT' AND move = (SELECT MAX(move) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days'));",,,,,
Plot the 20-day moving average of the low price for MSFT in the last year.,"SELECT date, AVG(low) OVER (ORDER BY date ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'MSFT' AND date >= date('now', '-365 days');",,,,,
Find the date and move for NVDA's highest move price in the last year.,"SELECT date, move FROM stocks WHERE symbol = 'NVDA' AND move = (SELECT MAX(move) FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-365 days'));",,,,,
Calculate the total move for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(move) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find all dates where MSFT's high price was greater than 118 in the last   2 years.,"SELECT date FROM stocks WHERE symbol = 'MSFT' AND high > 118 AND date >= date('now', '-2 years');",,,,,
What was the volume price for META on 2025-05-26?,SELECT volume FROM stocks WHERE symbol = 'META' AND date = '2025-05-26';,,,,,
Show me all data for AMZN in the last   2 years.,"SELECT * FROM stocks WHERE symbol = 'AMZN' AND date >= date('now', '-2 years') ORDER BY date ASC;",,,,,
Plot the 100-day moving average of the adj_close price for META in the last year.,"SELECT date, AVG(adj_close) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days');",,,,,
Find the date and move for AAPL's highest move price in the last year.,"SELECT date, move FROM stocks WHERE symbol = 'AAPL' AND move = (SELECT MAX(move) FROM stocks WHERE symbol = 'AAPL' AND date >= date('now', '-365 days'));",,,,,
Plot the 50-day moving average of the low price for META in the last year.,"SELECT date, AVG(low) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'META' AND date >= date('now', '-365 days');",,,,,
Show me all data for JPM in the last   30  days.,"SELECT * FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-30 days') ORDER BY date ASC;",,,,,
Plot the 100-day moving average of the low price for V in the last year.,"SELECT date, AVG(low) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days');",,,,,
Plot the 50-day moving average of the high price for V in the last year.,"SELECT date, AVG(high) OVER (ORDER BY date ROWS BETWEEN 49 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'V' AND date >= date('now', '-365 days');",,,,,
Calculate the total low for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(low) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Find the date and move for NVDA's highest move price in the last year.,"SELECT date, move FROM stocks WHERE symbol = 'NVDA' AND move = (SELECT MAX(move) FROM stocks WHERE symbol = 'NVDA' AND date >= date('now', '-365 days'));",,,,,
What was the MIN close for NVDA over 2023 01 01 AND 2023 12 31?,SELECT MIN(close) FROM stocks WHERE symbol = 'NVDA' AND date >= 2023-01-01' AND '2023-12-31;,,,,,
Plot the 100-day moving average of the adj_close price for AMZN in the last year.,"SELECT date, AVG(adj_close) OVER (ORDER BY date ROWS BETWEEN 99 PRECEDING AND CURRENT ROW) FROM stocks WHERE symbol = 'AMZN' AND date >= date('now', '-365 days');",,,,,
Find the date and low for GOOGL's highest low price in the last year.,"SELECT date, low FROM stocks WHERE symbol = 'GOOGL' AND low = (SELECT MAX(low) FROM stocks WHERE symbol = 'GOOGL' AND date >= date('now', '-365 days'));",,,,,
Calculate the total close for each ticker in 2024 grouped by year.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(close) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
Show me all data for PG in 2023 01 01 AND 2023 12 31.,SELECT * FROM stocks WHERE symbol = 'PG' AND date >= 2023-01-01' AND '2023-12-31 ORDER BY date ASC;,,,,,
Find the date and high for JPM's highest high price in the last year.,"SELECT date, high FROM stocks WHERE symbol = 'JPM' AND high = (SELECT MAX(high) FROM stocks WHERE symbol = 'JPM' AND date >= date('now', '-365 days'));",,,,,
Find the date and close for AMZN's highest close price in the last year.,"SELECT date, close FROM stocks WHERE symbol = 'AMZN' AND close = (SELECT MAX(close) FROM stocks WHERE symbol = 'AMZN' AND date >= date('now', '-365 days'));",,,,,
Calculate the total move for each ticker in 2024 grouped by month.,"SELECT symbol, strftime('%Y-%m', date) as period, SUM(move) FROM stocks WHERE date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY symbol, period;",,,,,
